"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"Med Chem Res (2013), 22(2), 879-889 (DOI:10.1007/s00044-012-0064-4)"	44	2	44	Manual data extraction	Data standardisation and curation	CHEMBL3044657
"Med Chem Res (2011), 20(4), 435-442 (DOI:10.1007/s00044-010-9335-0)"	12	3	35	Manual data extraction	Data standardisation and curation	CHEMBL3044658
"Med Chem Res (2013), 22(7), 3177-3184 (DOI:10.1007/s00044-012-0256-y)"	12	4	37	Manual data extraction	Data standardisation and curation	CHEMBL3044659
"Pest Manag Sci (2011), 67(8), 986-992 (PMID:21438123)"	19	4	95	Manual data extraction	Data standardisation and curation	CHEMBL3044660
"J Agric Food Chem (2003), 51(26), 7607-7610 (PMID:14664515)"	2	17	46	Manual data extraction	Data standardisation and curation	CHEMBL3044661
"Med Chem Res (2013), 22(9), 4125-4132 (DOI:10.1007/s00044-012-0417-z)"	28	8	163	Manual data extraction	Data standardisation and curation	CHEMBL3044662
"Med Chem Res (2011), 20(3), 293-299 (DOI:10.1007/s00044-010-9321-6)"	18	10	162	Manual data extraction	Data standardisation and curation	CHEMBL3044663
"Med Chem Res (2013), 22(1), 195-210 (DOI:10.1007/s00044-012-0026-x)"	28	16	350	Manual data extraction	Data standardisation and curation	CHEMBL3044664
"Crop Protection (2006), 25(6), 613-617 (DOI:10.1016/j.cropro.2005.09.013)"	4	60	60	Manual data extraction	Data standardisation and curation	CHEMBL3044665
"Med Chem Res (2013), 22(12), 5707-5716 (DOI:10.1007/s00044-013-0561-0)"	21	8	71	Manual data extraction	Data standardisation and curation	CHEMBL3044666
"Crop Protection (2010), 29(10), 1124-1129 (DOI:10.1016/j.cropro.2010.06.009)"	2	3	5	Manual data extraction	Data standardisation and curation	CHEMBL3044667
"Med Chem Res (2012), 21(4), 459-467 (DOI:10.1007/s00044-011-9552-1)"	13	6	30	Manual data extraction	Data standardisation and curation	CHEMBL3044668
